mood board visual concept
reference gathering research
color palette development
texture reference collection
lighting reference study
atmosphere reference mood
character reference casting
environment reference location
prop reference objects
costume reference wardrobe
makeup reference beauty
hairstyle reference grooming
vehicle reference transportation
architecture reference buildings
landscape reference nature
weather reference conditions
time period reference historical
cultural reference authenticity
style reference aesthetic
brand reference identity
