Humanoid bipedal
Quadrupedal mammalian
Serpentine elongated
Arachnid eight-legged
Insectoid six-legged
Avian winged
Reptilian scaled
Amphibian moist-skinned
Piscine aquatic
Cephalopod tentacled
Arthropod segmented
Mollusk soft-bodied
Cnidarian tentacled
Echinoderm radial
Annelid segmented
Platyhelminth flat
Nematode round
Porifera porous
Bryozoan colonial
Brachiopod shelled
Crinoid stalked
Trilobite segmented
Ammonoid coiled
Belemnoid bullet-shaped
Graptolite colonial
Conodont tooth-like
Stromatolite layered
Acritarch spherical
Chitinozoan flask-shaped
Scolecodont jaw-like
Radiolarian siliceous
Foraminiferan chambered
Diatom glass-like
Coccolithophore plated
Dinoflagellate armored
Euglenoid flexible
Paramecium slipper-shaped
Amoeba shape-shifting
Volvox spherical colonial
Spirogyra spiral
Chlamydomonas flagellated
Euglena eyespot
Stentor trumpet-shaped
Vorticella bell-shaped
Rotifer wheel-like
Tardigrade bear-like
Gastrotrich hairy
Kinorhynch spiny
Loriciferan armored
Priapulid cucumber-shaped
Nematomorph horsehair-like
Acanthocephalan hooked
Rotiferan crowned
Bdelloid wheel-bearing
Monogonont egg-laying
Seisonid parasitic
Orthonectid simple
Dicyemid rhombogen
Placozoan flat
Mesozoan simple
Myxozoan spore-forming
Microsporidian parasitic
Choanoflagellate collared
Filasterea amoeboid
Ichthyosporea spherical
Corallochytrium branched
Cryptista diverse
Diaphoretickes complex
Archaeplastida photosynthetic
