Spirit inhabited natural objects
Soul essence living beings
Sacred power dwelling places
Consciousness pervading matter
Elemental beings earth guardians
Tree spirit forest dwellers
Rock spirit mountain guardians
Water spirit river keepers
Wind spirit air dancers
Fire spirit flame tenders
Animal spirit guide companions
Plant spirit healing teachers
Mineral spirit earth wisdom
Crystal spirit light bearers
Thunder spirit storm bringers
Rainbow spirit bridge builders
Star spirit cosmic messengers
Moon spirit cycle keepers
Sun spirit life givers
Earth spirit mother goddess
