ceramic vessel functional pottery
stone sculpture carved monument
metal jewelry personal adornment
textile fragment woven material
bone tool utilitarian implement
glass bead trade object
coin monetary system
seal stamp administrative tool
weapon warfare technology
agricultural tool farming implement
hunting equipment survival gear
cooking utensil food preparation
religious artifact spiritual object
decorative ornament aesthetic enhancement
gaming piece entertainment object
writing tablet communication medium
measuring device standardization tool
construction material building component
artistic creation cultural expression
ceremonial object ritual significance
