permanent collection core holdings
temporary exhibition rotating display
traveling exhibition touring show
retrospective career survey
thematic exhibition concept focus
contemporary exhibition current relevance
historical exhibition period documentation
comparative exhibition cultural dialogue
solo exhibition individual artist
group exhibition collective presentation
multimedia installation immersive experience
interactive exhibition audience participation
digital exhibition virtual access
educational exhibition learning focus
community exhibition local engagement
memorial exhibition remembrance tribute
anniversary exhibition milestone celebration
fundraising exhibition donor appreciation
opening reception social event
curator talk expert presentation
