fresh baby level
in-training toddler stage
rookie child form
champion adult stage
ultimate perfect form
mega final evolution
burst mode powered
mode change alternate
armor digivolution
dna fusion combined
jogress unified form
biomerge human-digital
spirit evolution legendary
ancient legendary beast
super ultimate transcendent
ultra level beyond
omega supreme form
alpha primitive stage
beta development phase
gamma mature stage
delta advanced form
epsilon peak evolution
zeta transcendent being
eta beyond limits
theta infinite potential
iota microscopic form
kappa water adaptation
lambda light evolution
mu magnetic form
nu neutrino phase
xi unknown variable
omicron perfect circle
pi mathematical constant
rho density controller
sigma summation total
tau time manipulator
upsilon dimensional shifter
phi golden ratio
chi life energy
psi psychic power
omega final destination
