antikythera mechanism
baghdad battery
damascus steel
greek fire
roman concrete
chinese compass
gunpowder invention
printing press
paper making
silk production
porcelain crafting
bronze working
iron smelting
steel forging
gold leafing
silver plating
copper alloys
tin bronze
lead pipes
glass blowing
lens grinding
mirror polishing
water clocks
sundial precision
astrolabe navigation
sextant measurement
telescope optics
microscope magnification
camera obscura
magic lantern
mechanical calculator
clockwork automation
steam engine
water wheel
windmill power
aqueduct engineering
arch construction
dome architecture
pyramid building
megalith moving
stone cutting
precision drilling
laser cutting
waterjet machining
plasma cutting
electron beam
ion beam etching
