atlantis sunken empire
lemuria lost continent
mu pacific civilization
hyperborea arctic realm
shambhala hidden kingdom
agartha hollow earth
eldorado golden city
avalon mystical island
thule northern utopia
aztlan ancestral homeland
tír na nóg otherworld
valhalla warrior paradise
elysium blessed realm
arcadia pastoral paradise
utopia perfect society
shangri-la mountain sanctuary
camelot arthurian kingdom
troy legendary city
babylon tower builders
sodom destroyed city
gomorrah cursed place
pompeii volcanic victim
herculaneum buried city
carthage phoenician power
petra rose city
palmyra desert oasis
angkor forgotten temple
machu picchu sky city
easter island statue makers
nazca line creators
olmec colossal heads
mayan calendar keepers
inca gold masters
aztec feathered serpent
toltec tula warriors
zapotec monte alban
teotihuacan pyramid city
cahokia mound builders
anasazi cliff dwellers
pueblo ancient ones
