Hot-Blooded Protagonist Underdog
Determined Rookie Fighter
Natural Talent Prodigy
Hard-Working Training Fanatic
Never-Give-Up Spirit Warrior
Friendship Power Believer
Justice-Seeking Hero
Revenge-Driven Avenger
Tournament Winner Dreamer
World's Strongest Aspirer
Master's Student Disciple
Ancient Technique Inheritor
Hidden Power Awakener
Transformation Fighter
Multi-Form Battle Warrior
Energy Blast Specialist
Gravity Training Survivor
Hyperbolic Time Chamber Graduate
Saiyan Pride Warrior
Legendary Super Fighter
Ultra Instinct Master
God-Level Power Seeker
Universe Protector Hero
Reality Destroyer Villain
Time Manipulator Fighter
Space Bending Warrior
Dimension Crossing Fighter
Planet Destroying Champion
Galaxy Conquering Emperor
Universe Creating God
Multiverse Ruling Overlord
Omnipotent Being Fighter
Transcendent Existence Warrior
Beyond Comprehension Fighter
Infinite Power Holder
Eternal Warrior Immortal
Absolute Strength Master
Perfect Fighter Ideal
Ultimate Warrior Supreme
Final Boss Challenger
True Power Awakener
Hidden Potential Unlocker
Limitless Growth Fighter
Exponential Power Increaser
