Resource management systems
Turn-based tactical combat
Real-time strategy building
Card-based action selection
Dice rolling probability
Worker placement optimization
Territory control expansion
Pattern matching puzzles
Physics simulation challenges
Timing-based skill tests
Memory retention games
Social deduction mechanics
Cooperative team objectives
Competitive auction bidding
Exploration discovery rewards
Crafting recipe combinations
Character progression trees
Moral choice consequences
Random event encounters
Persistent world changes
