Player versus player combat
Player versus environment challenges
Cooperative team gameplay
Competitive tournament formats
Asymmetric role distribution
Social deduction mechanics
Trading card game battles
Real-time strategy warfare
Turn-based tactical combat
Puzzle solving cooperation
Racing competition modes
Survival endurance tests
Creative building contests
Exploration discovery races
Negotiation diplomacy games
Auction bidding mechanics
Resource gathering competition
Territory control battles
Stealth infiltration challenges
Rhythm music synchronization
