solitary lone wanderer
pair bonded partners
small family groups
large herd gatherings
pack hunting teams
flock migration groups
colony collective living
territorial boundary defenders
nomadic traveling bands
seasonal gathering swarms
hierarchical social ranks
egalitarian equal groups
matriarchal female led
patriarchal male dominated
age-based elder respect
strength-based dominance
cooperative mutual aid
competitive individual focus
protective parental care
mentoring teaching behavior
playful social interaction
grooming bonding rituals
communication vocal calls
silent gesture language
scent marking territory
visual display signals
courtship mating dances
nesting site preparation
resource sharing habits
food hoarding behavior
gift giving exchanges
conflict resolution methods
alliance formation tactics
rivalry competition drives
leadership following patterns
democratic group decisions
instinctive hive mind
learned cultural traditions
adaptive social flexibility
generational knowledge transfer
