crystalline spikes
flame crest
lightning horn
leaf ears
fin wings
feathered tail
scaled hide
furry mane
glowing orbs
gem eyes
metallic claws
bone protrusions
flower petals
icy shards
rocky armor
bubble sacs
flame vents
electric pouches
psychic rings
shadow tendrils
fairy dust sparkles
poison barbs
ground tremor feet
flying membrane wings
ghost wisp aura
steel plated shell
insect compound eyes
dragon wing membranes
water jet nozzles
grass vine whips
ice crystal formations
fire ember trails
electric spark discharge
psychic energy halos
dark smoke emanation
fairy light particles
fighting muscle definition
poison dripping fangs
ground seismic sensors
rock mineral deposits
bug chitinous exoskeleton
ghost translucent body
steel reinforced joints
flying aerodynamic form
normal adaptive features
