Hyper-focused tunnel vision
Scattered attention jumping
Mindful present awareness
Dissociated reality detachment
Flow state immersion
Meditative calm observation
Analytical systematic thinking
Intuitive gut-feeling response
Creative divergent ideation
Critical evaluative judgment
Abstract conceptual processing
Concrete detail-oriented focus
Global big-picture thinking
Local specific-detail attention
Sequential step-by-step logic
Random associative connections
Verbal linguistic processing
Visual spatial imagination
Auditory sound-based thinking
Kinesthetic body-based awareness
