mechanical engineering blueprints
electrical circuit schematic
hydraulic system pressure flow
pneumatic system air pressure
gear mechanism power transmission
lever system mechanical advantage
pulley system load distribution
spring mechanism energy storage
cam mechanism motion conversion
linkage mechanism force transfer
bearing system friction reduction
seal system fluid containment
valve system flow control
pump system fluid movement
motor system energy conversion
generator system electricity production
transformer system voltage conversion
sensor system measurement detection
actuator system motion control
control system automation logic
