Tearful sobbing vulnerability
Angry aggressive confrontation
Joyful laughing celebration
Fearful trembling anxiety
Surprised shocked reaction
Disgusted repulsed rejection
Sad melancholic mourning
Happy uplifting enthusiasm
Contemptuous dismissive scorn
Ashamed guilty confession
Proud triumphant declaration
Envious resentful comparison
Curious questioning exploration
Bored indifferent detachment
Excited anticipatory eagerness
Nostalgic wistful remembrance
Hopeful optimistic outlook
Desperate pleading appeal
Serene peaceful acceptance
Passionate intense devotion
