wordmark typography focus
lettermark initial abbreviation
pictorial mark symbolic imagery
abstract mark geometric form
mascot character representation
combination mark text-image
emblem enclosed design
monogram interlocked letters
signature script style
badge circular containment
minimalist reductive approach
maximalist detailed complexity
vintage retro aesthetic
modern contemporary clean
classic timeless elegance
playful approachable friendly
serious professional authority
luxury premium exclusivity
eco-friendly sustainable values
tech-forward innovative progressive
