medieval armor
royal gown
peasant tunic
monk robe
jester outfit
knight regalia
archer attire
blacksmith apron
noble doublet
witch hunter coat
alchemist garb
minstrel clothing
princess dress
squire outfit
crusader surcoat
court jester costume
plague doctor attire
herald tabard
ranger cloak
mage robes
chainmail hauberk
chainmail coif
gambeson tunic
padded jack
brigandine vest
plate cuirass
steel gorget
riveted gauntlets
leather bracers
iron greaves
sabatons
mail chausses
bascinet helmet
kettle helm
great helm
sallet helmet
barbute helm
aventail hood
heraldic surcoat
templar tabard
hospitaller cloak
fur-lined mantle
woolen kirtle
linen chemise
silk cotehardie
embroidered houppelande
courtly doublet
velvet overdress
laced bodice
merchant tunic
traveler cloak
pilgrim cloak
shepherd smock
peasant hose
hooded liripipe
ladies hennin
wimple headdress
circlet crown
girdle belt
brocade gown
squire tunic
archer jerkin
falconer glove
alchemist hood
monastic scapular
scribes robe
watchman cloak
bardic mantle
herald sash
tourney tabard
