knife skills precise chopping
sautéing pan technique
grilling flame cooking
roasting oven method
braising slow cooking
steaming gentle heat
poaching delicate method
blanching quick cooking
frying crispy texture
baking controlled heat
smoking flavor infusion
curing preservation method
fermentation natural process
marinating flavor penetration
seasoning taste enhancement
plating artistic presentation
garnishing decorative finish
sauce making flavor base
stock preparation foundation
pastry technique precision
