Branching pathway choices
Vertical tower climbing
Horizontal corridor navigation
Open world exploration
Linear story progression
Hub world connectivity
Maze-like puzzle solving
Multi-layered depth levels
Underground cave networks
Sky platform challenges
Water-based swimming areas
Gravity-defying spaces
Time-manipulation zones
Portal teleportation hubs
Procedurally generated layouts
Handcrafted detailed environments
Modular tile-based construction
Organic flowing landscapes
Architectural geometric precision
Dynamic changing environments
