Stealth infiltration missions
Tower defense scenarios
Escort protection duties
Puzzle dungeon navigation
Boss battle encounters
Treasure hunting expeditions
Rescue operation extractions
Diplomatic negotiation meetings
Investigation mystery solving
Survival endurance challenges
Racing speed competitions
Building construction projects
Trading economic ventures
Exploration mapping journeys
Combat tournament brackets
Crafting recipe discoveries
Relationship romance quests
Moral dilemma choices
Time pressure challenges
Cooperative team objectives
