Parallel Universe Portal Interdimensional gateway
Alternate Reality Window Timeline viewing
Mirror Dimension Access Reflection realm
Shadow Dimension Gateway Dark space
Light Dimension Portal Luminous realm
Time Dimension Tunnel Temporal access
Space Dimension Bridge Spatial connection
Consciousness Dimension Gate Awareness realm
Dream Dimension Portal Sleep world
Nightmare Dimension Entry Terror realm
Memory Dimension Access Past storage
Imagination Dimension Gateway Creative space
Fantasy Dimension Portal Wonder realm
Fiction Dimension Access Story world
Reality Dimension Bridge Truth space
Illusion Dimension Portal Deception realm
Thought Dimension Gateway Mind space
Emotion Dimension Access Feeling realm
Spirit Dimension Portal Soul space
Energy Dimension Gateway Power realm
Matter Dimension Access Physical space
Anti Matter Dimension Opposite realm
Dark Matter Dimension Hidden space
Dark Energy Dimension Expansion force
Vacuum Dimension Portal Empty space
Void Dimension Gateway Nothingness realm
Chaos Dimension Access Disorder space
Order Dimension Portal Pattern realm
Entropy Dimension Gateway Decay space
Negentropy Dimension Portal Organization realm
Information Dimension Access Data space
Probability Dimension Gateway Chance realm
Possibility Dimension Portal Potential space
Impossibility Dimension Gateway Paradox realm
Logic Dimension Access Reason space
Absurd Dimension Portal Nonsense realm
Surreal Dimension Gateway Dream logic
Hyperreal Dimension Portal Beyond real
Unreal Dimension Gateway False space
Imaginary Dimension Portal Math space
Complex Dimension Gateway Number realm
Infinite Dimension Portal Boundless space
Finite Dimension Gateway Limited realm
Zero Dimension Portal Point space
One Dimension Gateway Line realm
Two Dimension Portal Plane space
Three Dimension Gateway Volume realm
Four Dimension Portal Tesseract space
Five Dimension Gateway Penteract realm
Six Dimension Portal Hexeract space
Seven Dimension Gateway Hepteract realm
Eight Dimension Portal Octeract space
Nine Dimension Gateway Enneract realm
Ten Dimension Portal Dekeract space
Eleven Dimension Gateway String space
Twelve Dimension Portal Dodecaspace realm
Thirteen Dimension Gateway Baker space
Fourteen Dimension Portal Calabi realm
Fifteen Dimension Gateway Yau space
Sixteen Dimension Portal Superstring realm
Twenty Six Dimension Gateway Bosonic space
Fractal Dimension Portal Fractional space
Hausdorff Dimension Gateway Measure space
Topological Dimension Portal Covering space
Euclidean Dimension Gateway Flat space
Non Euclidean Dimension Portal Curved realm
Riemannian Dimension Gateway Manifold space
Hyperbolic Dimension Portal Saddle realm
Elliptic Dimension Gateway Sphere space
