quadruped mammalian
bipedal humanoid
serpentine coiled
avian winged
aquatic streamlined
insectoid segmented
plant-like rooted
mineral crystalline
gaseous ethereal
liquid flowing
amorphous blob
geometric angular
spherical rounded
elongated stretched
compact dense
tall towering
small diminutive
massive gigantic
slender graceful
bulky robust
armored plated
soft rounded
spiky defensive
smooth polished
textured rough
multi-headed hydra
multi-armed deity
multi-legged spider
single-celled simple
complex multi-part
modular segmented
transforming shape
phase-shifting form
size-changing adaptive
color-changing camouflage
transparency shifting
density altering
temperature adaptive
pressure resistant
gravity defying
time dilating
space warping
reality bending
