Blinding white light
Deafening thunderous sound
Overwhelming fragrance perfume
Excruciating sharp pain
Unbearable heat intensity
Freezing cold numbness
Crushing pressure weight
Feather light touch
Razor sharp cutting
Velvet soft caressing
Sandpaper rough scraping
Glass smooth slipping
Stone hard unyielding
Liquid fluid flowing
Gas ethereal dispersing
Plasma electric burning
Vacuum empty silence
Compression dense squeezing
Expansion infinite stretching
Vibration rhythmic pulsing
Stillness absolute quiet
Motion blur speeding
Stasis frozen time
Acceleration increasing force
Deceleration slowing resistance
Spinning dizzy rotation
Falling weightless drop
Rising buoyant lift
Floating suspended drift
Sinking heavy descent
Climbing upward struggle
Descending downward ease
Jumping sudden launch
Landing impact shock
Rolling continuous motion
Sliding smooth glide
Crawling slow progress
Walking steady pace
Running fast rhythm
Sprinting explosive speed
Marathon endurance test
Sprint burst energy
Yoga gentle stretch
Dance flowing movement
Swimming liquid motion
Flying aerial freedom
Diving deep plunge
Surfacing gasping breath
Breathing life rhythm
Holding breath tension
Gasping air desperate
Choking air blocked
Suffocating no air
Fresh air relief
Stale air trapped
Polluted air toxic
Clean air pure
Humid air thick
Dry air crisp
Hot air rising
Cold air sinking
Still air calm
Moving air breeze
Wind rushing force
Hurricane devastating power
Tornado spinning destruction
Breeze gentle caress
Gust sudden push
Draft cool flow
Current steady stream
Eddy swirling pocket
Vortex spinning center
Whirlpool water spiral
Maelstrom chaotic swirl
Calm peaceful stillness
Storm violent chaos
Lightning electric flash
Thunder sound explosion
Rain water falling
Snow crystal silence
Hail ice bombardment
Sleet mixed precipitation
Fog obscuring mist
Cloud vapor formation
Steam hot vapor
Smoke particle cloud
Dust fine particles
Sand gritty abrasion
Mud sticky earth
Clay moldable earth
Rock solid foundation
Metal cold hardness
Wood warm organic
Plastic synthetic smooth
Glass transparent barrier
Crystal clear structure
Ice frozen water
Fire consuming energy
Lava molten rock
Magma underground fire
Electricity shocking energy
Magnetism invisible force
Gravity pulling weight
Centrifugal outward force
Centripetal inward pull
Friction resistance drag
Momentum unstoppable force
Inertia resistance change
Energy potential power
Force applied pressure
