Warriors of Sunlight jolly cooperation covenant
Princess Guard darkmoon protective order
Blade of Darkmoon vengeance-seeking covenant
Path of Dragon ancient transformation pact
Chaos Servant flame-worshipping order
Forest Hunter woodland protection covenant
Gravelord Servant death-spreading covenant
Darkwraith soul-draining covenant
White Phantom helpful summoned spirit
Gold Phantom sunlight covenant member
Red Phantom invading hostile spirit
Blue Phantom darkmoon covenant member
Black Phantom gravelord servant summon
Mound Makers vertebra shackle collectors
Rosaria Fingers rebirth covenant servants
Aldrich Faithful devourer protection order
Watchdogs of Farron swamp guardians
Blue Sentinels way of blue protectors
Spears of Church divine protection covenant
Ringed City Knights final covenant guardians
Sun Princess Guard light protection order
Moon Goddess Devotees lunar worship covenant
Star Seekers celestial knowledge order
Void Walkers darkness exploration pact
Time Keepers temporal guardian covenant
Space Wardens dimensional protection order
Reality Guardians existence protection pact
Truth Seekers knowledge pursuit covenant
Lie Weavers deception crafting order
Dream Builders fantasy creation pact
Nightmare Spinners terror weaving covenant
Memory Keepers past preservation order
Future Seers prophecy vision pact
Present Guardians moment protection covenant
Life Binders vitality preservation order
Death Dealers mortality dispensing pact
Soul Shepherds spirit guidance covenant
Spirit Wardens ghost protection order
Flesh Shapers body modification pact
Bone Collectors skeleton gathering covenant
Blood Drinkers crimson consumption order
Tears Gatherers sorrow collection pact
Pain Sharers suffering distribution covenant
Joy Spreaders happiness dispensing order
Fear Mongers terror propagation pact
Hope Bearers optimism carrying covenant
Faith Defenders belief protection order
Doubt Sowers uncertainty planting pact
Trust Builders confidence creating covenant
Betrayal Orchestrators treachery arranging order
Loyalty Sworn faithfulness binding pact
Honor Guards dignity protection covenant
Shame Inflictors humiliation causing order
Pride Breakers ego destruction pact
Humility Servants modesty serving covenant
Rage Channelers anger directing order
Calm Keepers peace maintaining pact
Chaos Agents disorder spreading covenant
Order Maintainers structure preserving order
Balance Seekers equilibrium pursuing pact
Imbalance Creators disruption causing covenant
Unity Builders connection creating order
Division Sowers separation planting pact
Harmony Weavers discord eliminating covenant
Discord Spreaders conflict propagating order
Peace Makers violence ending pact
War Mongers conflict encouraging covenant
Victory Pursuers triumph seeking order
Defeat Acceptors loss embracing pact
Success Builders achievement creating covenant
Failure Architects ruin designing order
Progress Champions advancement promoting pact
Regression Advocates backward movement covenant
Evolution Servants change serving order
Devolution Agents degradation causing pact
Creation Artisans building crafting covenant
Destruction Artists demolition creating order
Construction Workers assembly performing pact
Deconstruction Specialists disassembly performing covenant
Formation Shapers structure creating order
Deformation Agents structure warping pact
Transformation Facilitators change enabling covenant
Preservation Societies conservation maintaining order
Conservation Groups protection performing pact
Waste Makers squandering causing covenant
Efficiency Experts optimization performing order
Inefficiency Creators suboptimal causing pact
Perfect Seekers flawlessness pursuing covenant
Imperfection Embracers flaw accepting order
Completion Agents finishing performing pact
Incompletion Maintainers unfinished preserving covenant
Wholeness Builders integration creating order
Fragmentation Agents breaking causing pact
Integration Facilitators unifying enabling covenant
Disintegration Specialists fragmenting performing order
Synthesis Creators combining performing pact
Analysis Specialists separating performing covenant
Fusion Agents merging causing order
Fission Specialists splitting performing pact
Union Builders joining creating covenant
Separation Agents dividing causing order
Connection Weavers linking creating pact
Disconnection Agents severing causing covenant
Communication Facilitators messaging enabling order
Silence Keepers quiet maintaining pact
Sound Creators acoustic generating covenant
Noise Makers chaotic-audio generating order
Music Weavers harmonic creating pact
Rhythm Keepers beat maintaining covenant
Melody Creators tune generating order
Harmony Builders chord creating pact
Discord Weavers off-key creating covenant
Resonance Builders vibration matching order
Dissonance Creators clashing frequency pact
Frequency Controllers wave managing covenant
Amplitude Adjusters volume controlling order
Wavelength Measurers distance calculating pact
Period Keepers time-cycle maintaining covenant
Cycle Maintainers repetition preserving order
Loop Creators endless-repetition making pact
Spiral Builders expanding-circle creating covenant
Circle Keepers perfect-round maintaining order
Square Builders right-angle creating pact
Triangle Shapers three-point forming covenant
Pentagon Creators five-sided making order
Hexagon Builders six-sided creating pact
Octagon Shapers eight-sided forming covenant
Decagon Creators ten-sided making order
Polygon Builders multi-sided creating pact
Polyhedron Shapers multi-faced forming covenant
Sphere Keepers perfect-round maintaining order
Cube Builders six-faced creating pact
Pyramid Shapers triangular-base forming covenant
Prism Creators light-splitting making order
Crystal Builders geometric-structure creating pact
Fractal Weavers self-similar creating covenant
Mandelbrot Builders infinite-complexity creating order
Fibonacci Keepers golden-ratio maintaining pact
Pi Guardians circular-constant protecting covenant
