Salt coin tally sticks
Grain ledger knots
Shell ring currency
Amber bead tender
Iron weight bars
Copper stamped rounds
Silver clipped coins
Gold minted crowns
Paper promissory scripts
Credit glyph tablets
Ledger stones carved
Wax seal vouchers
Guild scrip tokens
Trade bead strings
Compass charter bonds
Harbor tariff plates
Road toll markers
Caravan insurance seals
Skyship fuel chits
Arcane reagent credits
Mana tithe receipts
Blessing indulgence slips
Shadow market markers
Festival coupon wreaths
Harvest share warrants
Craft guild dues
Apprentice stipend notes
Art commission drafts
Patronage letters credit
Mercenary contract bonds
Bounty writ payments
Relic auction pledges
Library access tokens
Temple offering tallies
Healing tithe slips
Well water allotments
Canal lock passes
Bridge fare counters
Ferry passage shells
Beacon light dues
Lighthouse fee markers
Mine claim stakes
Forest cutting permits
Pasture grazing rights
Fishing net shares
Pearl dive quotas
Driftwood salvage rights
Wreck claim placards
Star chart licenses
Map charter plates
Crown tax rods
