Solar theocracy
Lunar matriarchy
Tidal diarchy
Triumvirate council
Guild oligarchy
Arcane technocracy
Nomad confederacy
City-state league
Dynastic empire
Merchant republic
Worker commune
Forest covenant
Desert pact
Mountain holdfasts
River principalities
Island federations
Skybound charter
Underkeep dominion
Frontier marshalates
Knightly orders
Monastic orders
Artisan guild courts
Scholastic synods
Oracle conclaves
Spirit compacts
Beastlord protectorates
Wyrm-bound vassalages
Fae accords
Clockwork magistracies
Steam boroughs
Crystal prefectures
Obsidian satrapies
Honeycomb cantons
Mushroom boroughs
Coral prefectures
Amber marches
Ivory provinces
Iron marches
Copper cantons
Silver duchies
Gold electorates
Starward colonies
Void mandates
Eclipse regencies
Aurora protectorates
Tempest prefectures
Ashen baronies
Emerald counties
Sapphire shires
