Banner colors diplomacy
Knot-code marriage status
Lantern positions curfew
Reed flute signals trade
Wing-feather codes rank
Beekeep smoke patterns
Sail pennant treaties
Tea ceremony inflections
Door wreath meanings
Lantern shade taboos
Footpath cairn grammar
Market chalk sigils
Hearth ash marks
Bread scoring messages
Weaving loom patterns
Tattoo ring stations
Ear ornament syntax
Sleeve length signals
Fan language replies
Mask color etiquette
Belt-knot vows
Scarf drape statuses
Hairpin angle rank
Umbrella tilt cues
Cane tap cadence
Glove drop challenges
Handkerchief placement code
Ribbon knot lexicon
Coin flip proverbs
Dice throw omens
